,bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,tags,difficulties
0,36a0d,Bomb (feat. LeyeT),Bishu,spinposts,4341006,175,False,2023-10-22T16:41:38.056531Z,"['balanced', 'electronic']",['ExpertPlus']
1,36a0b,Well,my friend,templewatcheye,164529,33,False,2023-10-22T16:32:38.630568Z,"['challenge', 'speed', 'comedy-meme', 'classical-orchestral']","['Hard', 'Expert', 'ExpertPlus']"
2,36a01,Can't let go,DJVI,Skullsvr1123,159767,85,False,2023-10-22T16:17:52.362980Z,['none'],['ExpertPlus']
3,369ff,Take a Hint x5,ゴミ太郎,henrygames,4232131,386,False,2023-10-22T16:04:42.750047Z,"['challenge', 'speed', 'hardcore']",['ExpertPlus']
4,369fe,Zombified,Falling In Reverse,zraix,22889,222,False,2023-10-22T15:51:49.041848Z,['metal'],"['Hard', 'Expert', 'ExpertPlus']"
5,369fd,IBUKI,Analog digitaL,OTG,4297784,142,False,2023-10-22T15:49:31.044465Z,"['video-game-soundtrack', 'dance']",['Expert']
6,369fc,Why am I anxious,Tom Cardy,zraix,22889,108,False,2023-10-22T15:47:06.439291Z,['comedy-meme'],['Expert']
7,369fb,CHAOS,Æsir,OTG,4297784,218,False,2023-10-22T15:44:01.853561Z,"['video-game-soundtrack', 'dance']",['Expert']
8,369fa,You,Imil,Remec,4285621,127,False,2023-10-22T15:38:07.756990Z,['none'],['ExpertPlus']
9,369f8,Body Talk,M2U,OTG,4297784,123,False,2023-10-22T15:34:48.182941Z,"['video-game-soundtrack', 'dance']",['Expert']
10,369f7,Beautiful Lie,MINEXO feat. IMANI,OTG,4297784,156,False,2023-10-22T15:32:16.332165Z,"['video-game-soundtrack', 'dance']",['Expert']
11,369f6,Drop,篤志,OTG,4297784,137,False,2023-10-22T15:52:42.184505Z,"['video-game-soundtrack', 'dance']",['Expert']
12,369f5,big pp randy,gigglesaurus,templewatcheye,164529,24,False,2023-10-22T15:18:36.095660Z,"['challenge', 'speed', 'comedy-meme', 'kids-family']",['ExpertPlus']
13,369f0,MOAI MONEY,Exyl,bsNico__,113317,158,False,2023-10-22T15:03:41.411298Z,"['tech', 'speed', 'electronic', 'techno']",['ExpertPlus']
14,369ee,Hyper banquet,paradot,NanaCat,4285000,315,False,2023-10-22T14:45:00.875019Z,"['balanced', 'hardcore', 'electronic', 'challenge']",['ExpertPlus']
15,369ed,Abstruse Dilemma,Ashrtount vs. D-D-Dice,Sobas,4286549,162,False,2023-10-22T14:37:37.283583Z,"['balanced', 'speed', 'video-game-soundtrack']",['ExpertPlus']
16,369ec,God Is Dead,The Dali Thundering Concept,sk4venger,4285259,158,False,2023-10-22T14:34:19.921677Z,"['balanced', 'metal']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']"
17,369eb,Myron,Lil Uzi Vert,gagecorduck,4286472,228,False,2023-10-22T16:44:20.935499Z,['none'],['ExpertPlus']
18,369e6,(New Version)Endless Tears -11eyes CrossOver OP-,Tatsh(feat.AYANE),kagepoyo,4354981,121,False,2023-10-22T13:37:28.148856Z,['none'],"['Expert', 'ExpertPlus']"
19,369e5,Kioku no Kakera,feat.Sana,kagepoyo,4354981,113,False,2023-10-22T13:18:47.936532Z,['none'],['ExpertPlus']
20,369d8,Egao Ni Aitai,Rie Hamada,muu3,4338378,95,False,2023-10-22T13:07:28.251215Z,['anime'],['Hard']
21,3699a,Real world,Loossemble,Jonas_0_0,120215,192,False,2023-10-22T12:25:44.928125Z,"['k-pop', 'balanced']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']"
22,369d0,Gladiator,Jann,foxtasty6,163586,218,False,2023-10-22T12:14:56.467750Z,['none'],['ExpertPlus']
23,369cb,mjk,7_7,rise,852,163,False,2023-10-22T11:07:09.888967Z,['none'],['ExpertPlus']
24,369c5,Diamond Eyes,SYNTHETIC,wangyufy,4285274,218,False,2023-10-22T06:56:28.886649Z,['challenge'],"['Expert', 'ExpertPlus']"
25,369b9,Wagamama Party Night,Tokimeki Idol Project,akikucorn,152605,224,False,2023-10-22T06:19:53.541678Z,"['balanced', 'j-pop']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus', 'ExpertPlus']"
26,369b5,芭啦芭啦樱之花,郭富城,ken-UMA,164213,229,False,2023-10-22T05:20:29.566263Z,"['accuracy', 'pop', 'dance']",['Expert']
27,369b4,Районы-кварталы,Звери ,Felarice,165824,207,False,2023-10-22T05:01:05.469855Z,"['accuracy', 'rock']",['Hard']
28,369b3,Fire Inside,Gemini,deltafox,3999,217,False,2023-10-22T04:25:06.854626Z,['none'],['ExpertPlus']
29,369b2,Booty V10,Skullsvr1123,Skullsvr1123,159767,23,False,2023-10-22T04:24:49.320791Z,['none'],['ExpertPlus']
30,369b1,Booty V9,Skullsvr1123,Skullsvr1123,159767,23,False,2023-10-22T04:21:42.650149Z,['none'],['ExpertPlus']
31,369af,Main Theme Orchestra,Gooseworx,Elevator,4284739,63,False,2023-10-22T04:17:22.636581Z,"['balanced', 'tv-movie-soundtrack', 'instrumental']","['Expert', 'ExpertPlus']"
32,369aa,Paraselene,"Kobaryo, Nyankovsky",Timmyboi101,900,421,False,2023-10-22T03:58:56.692451Z,['none'],"['Expert', 'ExpertPlus']"
33,369ab,HE JUMPED?!?!,NutshellAnimations,WooitCheese,168429,15,False,2023-10-22T03:48:51.992809Z,"['dance-style', 'comedy-meme', 'pop']",['ExpertPlus']
34,369a8,towering_cock,71bigdaddy,dont_care,162022,51,False,2023-10-22T03:28:26.410479Z,['none'],"['Normal', 'Hard', 'Expert', 'ExpertPlus']"
35,369a7,lμv-zukkyun,yบ2บ,Sky-BTW,4286795,122,False,2023-10-22T03:12:34.658390Z,['challenge'],['ExpertPlus']
36,369a6,Whitehouse,HGich.T,KMA,4309251,115,False,2023-10-22T02:50:00.381374Z,['none'],['ExpertPlus']
37,369a5,͏,katagiri,Switronic,4286837,120,False,2023-10-22T02:48:52.180342Z,"['challenge', 'tech']",['ExpertPlus']
38,369a3,Lucid traveler,Akira Complex VS 3R2,Mystrik,4284922,160,False,2023-10-22T02:41:09.186859Z,"['challenge', 'tech', 'electronic', 'dance']",['ExpertPlus']
39,369a4,Idolize,Creo,CosmonautSaitni,4326833,165,False,2023-10-22T02:40:59.428980Z,['challenge'],['ExpertPlus']
40,369a2,Hi Hi,DJ Witch Girl,VoltageChallengePosts,4349351,158,False,2023-10-22T13:35:32.232836Z,['none'],['ExpertPlus']
41,369a1,re: re: re: i made a snail pancake,jorj1357,Mystrik,4284922,107,False,2023-10-22T02:39:13.797677Z,"['challenge', 'dance-style', 'soul', 'electronic']",['ExpertPlus']
42,369a0,Beyond the Geostationary Orbit Level,Camellia,edgiiiiiiiii,4327102,299,False,2023-10-22T16:22:12.077753Z,['none'],"['Expert', 'ExpertPlus']"
43,3699f,GET OUT WHILE YOU STILL CAAAAAAAAAAAAAAAAAAAAAAAAAN V2,Baldi,Skullsvr1123,159767,16,False,2023-10-22T01:50:44.130653Z,['none'],['ExpertPlus']
44,3699e,It's Time To Griddy!,Griddy Kid,epicgamer9009,168587,12,False,2023-10-22T00:26:08.954225Z,"['dance', 'comedy-meme', 'tech', 'speed']",['ExpertPlus']
45,3699d, oh oh oh we re in heaven,oh oh oh we re in heaven guy,dont_care,162022,24,False,2023-10-22T00:20:55.056781Z,['none'],"['ExpertPlus', 'ExpertPlus']"
46,3699c,skibidi V2,skibidi GUY,dont_care,162022,15,False,2023-10-22T00:19:23.579193Z,['none'],"['Expert', 'ExpertPlus']"
47,3699b,i'm home alone [;   (meme),NutshellAnimations,WooitCheese,168429,21,False,2023-10-22T00:18:07.672660Z,"['drum-and-bass', 'pop', 'balanced']",['ExpertPlus']
48,36999,Mr. Incorrect,Malcolm Todd,sugarwoofer,157131,173,False,2023-10-21T22:02:05.054077Z,['none'],['Expert']
49,36998,Photocathode,staswalle,minerdiscovery,164421,176,False,2023-10-21T21:57:51.829005Z,['none'],['Easy']
